31000000000,32000000000,41368791,317957,41050834,31000002751,31999991053,53d87b672f542108,8387296,1753,31195872976,35040,31000000027,9,31000059403,321,31000002751,31999991053,1.12
32000000000,33000000000,41316074,316268,40999806,32000005061,32999987147,f48b4b8f1ac1b965,8427584,2053,32855580628,34813,32000000017,9,32000020699,537,32000005061,32999987147,1.10
33000000000,34000000000,41259170,313190,40945980,33000003563,33999993901,c1d351df1efe9a77,8477727,2003,33028012868,34229,33000000029,9,33000003349,545,33000003563,33999993901,1.16
34000000000,35000000000,41215217,310410,40904807,34000001603,34999999523,0012392cd49cb5cd,8516039,1987,34624333624,34774,34000000007,9,34000024213,363,34000001603,34999999523,1.09
35000000000,36000000000,41166936,309351,40857585,35000010977,35999994649,8dcbe8c5bf922232,8560580,1987,35670666412,34836,35000000041,9,35000018101,303,35000010977,35999994649,1.14
36000000000,37000000000,41116296,306001,40810295,36000001861,36999997843,9bf5d377abbd00fa,8599856,1889,36593032334,34276,36000000007,9,36000006001,845,36000001861,36999997843,1.11
37000000000,38000000000,41072879,305908,40766971,37000006493,37999997773,a8cf15b0f29cd0a7,8639533,2273,37353552998,33967,37000000007,9,37000009201,417,37000006493,37999997773,1.14
38000000000,39000000000,41026277,302953,40723324,38000007641,38999997137,d8ff32b086a662c0,8688047,2081,38861638766,34353,38000000011,9,38000026487,309,38000007641,38999997137,1.11
39000000000,40000000000,40983169,301145,40682024,39000007399,39999986291,1830759ad7bbb64c,8714974,1873,39632583148,34453,39000000029,9,39000000937,329,39000007399,39999986291,1.13
40000000000,41000000000,40942651,298480,40644171,40000003249,40999992731,921a7fcf212547cf,8757722,1741,40008692758,34336,40000000003,9,40000029403,585,40000003249,40999992731,1.11
41000000000,42000000000,40900619,297634,40602985,41000001709,41999997049,df6d15a525625753,8790366,2081,41392748372,34349,41000000021,9,41000048321,535,41000001709,41999997049,1.16
42000000000,43000000000,40859364,295568,40563796,42000008693,42999988639,88685adb32f3834f,8823285,1931,42326938448,34134,42000000059,9,42000043847,369,42000008693,42999988639,1.13
43000000000,44000000000,40824780,294487,40530293,43000001861,43999998313,745133a7e4494dca,8852191,1871,43774891178,34158,43000000019,9,43000005197,375,43000001861,43999998313,1.11
44000000000,45000000000,40785896,291878,40494018,44000001407,44999996123,0df5cecfe801c68f,8902994,1949,44225336588,34106,44000000021,9,44000024777,319,44000001407,44999996123,1.15
