BEST 3 3 170
PROGRESS nodes=2147483648 best=170 depth=165
PROGRESS nodes=4294967296 best=170 depth=172
PROGRESS nodes=6442450944 best=170 depth=168
PROGRESS nodes=8589934592 best=170 depth=160
PROGRESS nodes=10737418240 best=170 depth=168
PROGRESS nodes=12884901888 best=170 depth=161
PROGRESS nodes=15032385536 best=170 depth=167
PROGRESS nodes=19327352832 best=170 depth=171
PROGRESS nodes=21474836480 best=170 depth=170
PROGRESS nodes=23622320128 best=170 depth=171
PROGRESS nodes=25769803776 best=170 depth=165
PROGRESS nodes=27917287424 best=170 depth=147
PROGRESS nodes=30064771072 best=170 depth=171
PROGRESS nodes=32212254720 best=170 depth=167
PROGRESS nodes=34359738368 best=170 depth=164
PROGRESS nodes=36507222016 best=170 depth=168
PROGRESS nodes=38654705664 best=170 depth=168
PROGRESS nodes=40802189312 best=170 depth=172
PROGRESS nodes=42949672960 best=170 depth=152
PROGRESS nodes=45097156608 best=170 depth=170
PROGRESS nodes=47244640256 best=170 depth=167
PROGRESS nodes=49392123904 best=170 depth=171
PROGRESS nodes=51539607552 best=170 depth=171
PROGRESS nodes=53687091200 best=170 depth=168
PROGRESS nodes=55834574848 best=170 depth=164
PROGRESS nodes=57982058496 best=170 depth=159
PROGRESS nodes=60129542144 best=170 depth=159
PROGRESS nodes=62277025792 best=170 depth=172
PROGRESS nodes=64424509440 best=170 depth=172
PROGRESS nodes=66571993088 best=170 depth=164
PROGRESS nodes=70866960384 best=170 depth=169
PROGRESS nodes=73014444032 best=170 depth=170
PROGRESS nodes=75161927680 best=170 depth=172
PROGRESS nodes=77309411328 best=170 depth=159
