NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,23,22,25,22,27,22,29 seq=1,30,406,3295,17969,69841,199942,428939,693515,841020,752471,480867,206963,53598,6398,77,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,23,22,25,22,27,1,29 seq=1,30,406,3293,17925,69424,197676,421052,675021,811284,719971,457677,197159,51695,6365,70,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,23,22,25,1,27,28,29 seq=1,30,406,3291,17880,68981,195142,411650,651189,769114,667901,413817,173283,44205,5350,64,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,23,22,25,1,27,28,27 seq=1,30,406,3292,17903,69214,196516,416898,664836,793774,698835,440155,187741,48838,6071,110,2
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,23,22,25,1,27,1,29 seq=1,30,406,3293,17924,69412,197627,421034,675583,813672,725061,464205,202267,53950,6794,68,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,23,22,21,1,27,1,29 seq=1,30,406,3294,17946,69626,198847,425583,687279,834914,752431,488875,217255,59643,7950,153,3
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,23,21,25,1,27,1,29 seq=1,30,406,3293,17922,69373,197293,419375,670272,802190,708057,447177,191277,49890,6205,107,2
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,23,1,25,26,27,1,29 seq=1,30,406,3292,17901,69181,196283,415979,662633,790558,696279,439695,188683,49545,6158,65,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,23,1,25,26,25,1,29 seq=1,30,406,3293,17923,69394,197484,420373,673612,809712,719651,459293,199513,53186,6798,109,2
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,23,1,25,1,27,1,29 seq=1,30,406,3295,17966,69805,199794,428876,695181,848244,768163,501453,223527,61167,7901,70,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,12,19,1,21,22,21,1,25,1,27,1,29 seq=1,30,406,3296,17987,69999,200840,432553,704072,863400,786463,516893,232305,64292,8500,113,2
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,20,23,20,25,1,27,1,29 seq=1,30,406,3292,17904,69233,196682,417765,667802,800669,709815,451938,195851,52021,6566,80,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,20,23,1,25,26,27,26,29 seq=1,30,406,3289,17838,68590,193010,404078,632790,737915,631034,384149,157876,39602,4766,68,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,20,23,1,25,26,27,1,29 seq=1,30,406,3290,17859,68790,194152,408417,644270,759399,659324,409683,172809,44643,5501,71,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,20,23,1,25,26,25,1,29 seq=1,30,406,3291,17881,69003,195351,412782,655072,777952,681445,427637,182298,47654,6002,109,2
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,20,23,1,25,1,27,1,29 seq=1,30,406,3293,17924,69414,197660,421269,676538,816125,729207,468834,205579,55349,7078,80,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,20,19,1,25,1,27,1,29 seq=1,30,406,3294,17945,69609,198721,425043,685790,832144,748899,485815,215519,59050,7850,149,3
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,19,23,1,25,1,27,1,29 seq=1,30,406,3293,17921,69356,197168,418850,668878,799755,705249,445104,190375,49702,6197,107,2
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,1,23,24,25,1,27,28,29 seq=1,30,406,3289,17836,68559,192811,403406,631592,737214,632461,387620,161088,40995,4983,67,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,1,23,24,25,1,27,28,27 seq=1,30,406,3290,17858,68772,194009,407755,642288,755387,653776,404546,169824,43733,5453,104,2
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,1,23,24,25,1,27,1,29 seq=1,30,406,3292,17901,69183,196317,416227,663656,793196,700698,444511,191985,50852,6401,75,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,1,23,24,23,1,27,1,29 seq=1,30,406,3293,17922,69377,197360,419862,672300,807543,717370,457877,199118,53223,6837,111,2
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,1,23,1,25,1,27,1,29 seq=1,30,406,3296,17986,69983,200728,432095,702848,861145,783530,514190,230567,63543,8301,86,1
NONLOGCONCAVE n=30 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,19,1,23,1,25,1,27,1,29 seq=1,30,406,3297,18006,70159,201632,435122,709820,872472,796587,524749,236370,65578,8704,121,2
